date;sku;error
2023-02-23 11:52:34;016-21101727;notFound
2023-02-23 11:52:34;016-20370927;notFound
2023-02-23 11:52:35;BKS-RE-002;notFound
2023-02-23 11:52:35;RM4014EW;notFound
2023-02-24 09:45:19;22SKV031;notFound
2023-02-24 09:45:19;170408H800;notFound
2023-02-24 09:45:19;VITOA6393370310;notFound
2023-02-24 09:45:20;S5132008-S;notFound
2023-02-24 09:45:20;S5132016-S;notFound
2023-02-24 09:45:20;016-21101727;notFound
2023-02-24 09:45:20;016-20370927;notFound
2023-02-24 09:45:21;BKS-RE-002;notFound
2023-02-24 09:45:21;RM4014EW;notFound
2023-02-24 09:45:25;22SKV031;notFound
2023-02-24 15:33:16;22SKV031;notFound
2023-02-24 15:33:16;170408H800;notFound
2023-02-24 15:33:16;VITOA6393370310;notFound
2023-02-24 15:33:16;S5132008-S;notFound
2023-02-24 15:33:16;S5132016-S;notFound
2023-02-24 15:33:16;016-21101727;notFound
2023-02-24 15:33:16;016-20370927;notFound
2023-02-24 15:33:17;BKS-RE-002;notFound
2023-02-24 15:33:17;RM4014EW;notFound
2023-02-24 15:33:21;22SKV031;notFound
2023-02-27 17:13:59;22SKV031;notFound
2023-02-27 17:13:59;170408H800;notFound
2023-02-27 17:13:59;VITOA6393370310;notFound
2023-02-27 17:13:59;S5132008-S;notFound
2023-02-27 17:13:59;S5132016-S;notFound
2023-02-27 17:13:59;016-21101727;notFound
2023-02-27 17:13:59;016-20370927;notFound
2023-02-27 17:14:00;BKS-RE-002;notFound
2023-02-27 17:14:00;RM4014EW;notFound
2023-02-27 17:14:05;22SKV031;notFound
2023-02-27 17:14:05;22SKV031;notFound
2023-02-27 17:14:05;170408H800;notFound
2023-02-27 17:14:05;VITOA6393370310;notFound
2023-02-27 17:14:06;S5132008-S;notFound
2023-02-27 17:14:06;S5132016-S;notFound
2023-02-27 17:14:06;016-21101727;notFound
2023-02-27 17:14:06;016-20370927;notFound
2023-02-27 17:14:07;BKS-RE-002;notFound
2023-02-27 17:14:07;RM4014EW;notFound
2023-02-27 17:14:11;22SKV031;notFound
2023-02-28 12:05:31;22SKV031;notFound
2023-02-28 12:05:31;170408H800;notFound
2023-02-28 12:05:31;VITOA6393370310;notFound
2023-02-28 12:05:31;S5132008-S;notFound
2023-02-28 12:05:31;S5132016-S;notFound
2023-02-28 12:05:31;016-21101727;notFound
2023-02-28 12:05:31;016-20370927;notFound
2023-02-28 12:05:32;BKS-RE-002;notFound
2023-02-28 12:05:32;RM4014EW;notFound
2023-02-28 12:05:37;22SKV031;notFound
2023-02-28 12:05:37;16SKV267;notFound
2023-03-01 19:52:10;22SKV031;notFound
2023-03-01 19:52:10;170408H800;notFound
2023-03-01 19:52:10;VITOA6393370310;notFound
2023-03-01 19:52:11;S5132008-S;notFound
2023-03-01 19:52:11;S5132016-S;notFound
2023-03-01 19:52:11;016-21101727;notFound
2023-03-01 19:52:11;016-20370927;notFound
2023-03-01 19:52:12;BKS-RE-002;notFound
2023-03-01 19:52:12;RM4014EW;notFound
2023-03-01 19:52:16;22SKV031;notFound
2023-03-01 19:52:17;16SKV267;notFound
2023-03-01 19:52:17;22SKV031;notFound
2023-03-02 09:44:19;22SKV031;notFound
2023-03-02 09:44:19;170408H800;notFound
2023-03-02 09:44:19;VITOA6393370310;notFound
2023-03-05 17:02:50;22SKV031;notFound
2023-03-05 17:02:50;170408H800;notFound
2023-03-05 17:02:50;VITOA6393370310;notFound
2023-03-05 17:02:51;S5132008-S;notFound
2023-03-05 17:02:51;S5132016-S;notFound
2023-03-05 17:02:51;016-21101727;notFound
2023-03-05 17:02:51;016-20370927;notFound
2023-03-05 17:02:52;BKS-RE-002;notFound
